KM_ID_(LAB,NAAM,TITEL ORI,Column7,Column8,MATERIAAL,Column9,DATERING,lon,lat
53,Henri Etienne-Martin,Demeure 3,,,brons,,1960,5.821696,52.095073
54,George Rickey,"Two Vertical, Three Horizontal Lines",,,roestvrij staal,,1965-1966,5.821242,52.095103
55,Heringa / Van Kalsbeek,Zonder titel,,,"brons, honingraten, honing, bramen, bloemblaadjes van rode anjers (seizoensafhankelijk) en beton (sokkel)",,2000,5.820062,52.094932
56,Carel Visser,Dubbelvorm 4,,,staal,,1957-1958,5.820104,52.094658
57,Cornelius Rogge,Tentenproject,,,"canvas, metaal en touw",,1975,5.820435,52.094528
58,Carel Visser,Kubus en zijn stapeling,,,staal,,1967,5.819898,52.094506
59,Kenneth Snelson,Needle Tower,,,aluminium en staaldraad,,1968,5.820224,52.094216
60,Tony Andreas,Shelter,,,aluminium,,1975 (ontwerp 1974),5.819852,52.094054
61,AndrŽ Volten,Zuil,,,roestvrij staal,,1968,5.820682,52.094157
62,Ana Maria Tavares,Secrets of the Waters (for Mnemosyne),,,graniet en roestvrij staal,,2008,5.820148,52.093896
63,Richard Serra,"Spin Out, for Robert Smithson",,,cortenstaal,,1972-1973,5.818688,52.094467
64,R.W. van de Wint,View,,,cortenstaal,,2001,5.817948,52.094313
65,Chen Zhen,Resonance,,,"staal, beton, megafoons en verbrande stoelen",,1994-1999,5.819274,52.094345
66,Japan,Monument,,,graniet,,16de - 17de eeuw,5.820138,52.093568
67,Tom Claassen,Rocky Lumps II,,,roze kwartsiet,,2021,5.821742,52.093534
68,Hermann Maier Neustadt,WD-Spiral Part One CINEMA,,,"glasvezel versterkt polyester, aluminium, gegalvaniseerd staal en multiplex",,2001,5.823761,52.094197
69,Ewerdt Hilgemann,Cube (KMM),,,roestvrij staal,,2014,5.820794,52.09485
70,Eugene Dodeigne,Homme et femme,,,kalksteen,,1963,5.821048,52.09456
71,Bill Woodrow,Rockswarm,,,"brons, steen en bladgoud",,2001,5.821376,52.094216
72,Leo Vroegindeweij,Zonder titel,,,"beton, hout en gips in kas",,1992,5.821402,52.094443
73,Ian Hamilton Finlay,Sacred Grove; Five Columns for the KrÃ¶ller-MÃ¼ller,,,kalksteen,,1980-1982,5.821694,52.094676
74,Mario Merz,Igloo di pietra,,,zandsteen en metaal,,1982,5.821916,52.094177
75,Lucio Fontana,Concetto spaziale 'Natura',,,brons,,1959-1960,5.822618,52.094363
76,Albert van der Weide,Moment,,,brons en graniet,,1997,5.822789,52.094728
77,Carel Visser,Pleinbeeld,,,brons en beton,,1998,5.822245,52.094673
78,Michael Jacklin,Balans,,,stripijzer,,1991,5.822414,52.094531
79,Michael Jacklin,Zonder titel,,,stripijzer,,1992,5.822544,52.09458
80,Evert Strobos,Palissade,,,cortenstaal,,1973-1991,5.822421,52.095046
links boven,,,,,,,,5.826866,52.098975
rechts onder,,,,,,,,5.815397,52.092296
